"","stnr","z","x","y","NO"
"472",14300,284,212136,6854690,TRUE
"473",14550,823,185699,6880065,TRUE
"474",14580,371,189513,6874193,TRUE
"475",14581,371,189621,6874217,TRUE
"476",14600,371,189024,6873062,TRUE
"477",14690,746,182091,6869065,TRUE
"478",14710,808,184924,6867794,TRUE
"479",14711,811,184836,6867936,TRUE
"480",13540,249,223249,6838853,TRUE
"481",13550,241,222519,6840780,TRUE
"482",13640,630,202518,6832880,TRUE
"483",13655,928,202568,6834700,TRUE
"484",13660,642,202311,6833144,TRUE
"485",13670,890,201357,6833058,TRUE
"486",13800,1015,182674,6831510,TRUE
"487",14050,330,212081,6850107,TRUE
"488",14200,599,191350,6857396,TRUE
"489",14310,285,211940,6855949,TRUE
"490",14350,285,212130,6859850,TRUE
"491",14400,323,204866,6862764,TRUE
"492",16040,309,212253,6861563,TRUE
"493",16100,298,212914,6863947,TRUE
"494",16180,298,207870,6868628,TRUE
"495",16240,656,204401,6867360,TRUE
"496",16265,380,206581,6873249,TRUE
"497",16270,935,209652,6874317,TRUE
"498",16271,940,210059,6874070,TRUE
"499",13700,752,208859,6821507,TRUE
"500",8180,641,267325,6837496,TRUE
"501",13140,187,243765,6823114,TRUE
"502",13150,200,243512,6822943,TRUE
"503",13160,1030,240507,6824262,TRUE
"504",13300,755,249687,6823799,TRUE
"505",13310,770,250172,6823328,TRUE
"506",13390,185,238235,6831700,TRUE
"507",13420,930,241030,6845074,TRUE
"508",13450,666,234069,6847059,TRUE
"509",13125,200,247535,6803814,TRUE
"510",13030,375,245538,6797052,TRUE
"511",13050,647,242994,6802469,TRUE
"512",13060,575,241348,6802780,TRUE
"513",13100,580,220358,6812463,TRUE
"514",21720,816,229384,6791778,TRUE
"515",11480,250,276143,6734501,TRUE
"516",11500,264,274598,6736485,TRUE
"517",11690,410,260935,6727575,TRUE
"518",11710,406,261327,6725617,TRUE
"519",4543,235,262609,6676589,TRUE
"520",4590,415,264890,6689676,TRUE
"521",20470,385,252900,6691218,TRUE
"522",20520,372,255525,6692471,TRUE
"523",11340,620,260439,6709993,TRUE
"524",20540,245,255092,6699292,TRUE
"525",20740,142,245658,6706589,TRUE
"526",20760,516,245147,6711095,TRUE
"527",21240,159,238782,6748209,TRUE
"528",21360,156,234432,6750487,TRUE
"529",21630,273,211606,6761491,TRUE
"530",21670,485,235498,6765219,TRUE
"531",21680,542,231132,6765682,TRUE
"532",21690,562,231081,6765798,TRUE
"533",21770,526,228819,6773540,TRUE
"534",22690,170,220912,6732644,TRUE
"535",22720,503,211024,6731717,TRUE
"536",22730,474,211439,6732019,TRUE
"537",22790,172,213236,6737020,TRUE
"538",22840,628,200709,6756944,TRUE
"539",21860,486,206314,6774646,TRUE
"540",21870,489,206369,6774978,TRUE
"541",21880,679,203982,6778903,TRUE
"542",22950,452,197518,6767108,TRUE
"543",22951,433,197837,6766375,TRUE
"544",22990,425,193380,6770844,TRUE
"545",23160,639,190612,6767145,TRUE
"546",23410,822,191717,6777660,TRUE
"547",23420,365,188436,6775026,TRUE
"548",23600,365,178689,6781724,TRUE
"549",23610,425,177534,6782165,TRUE
"550",23630,406,175752,6786988,TRUE
"551",23640,403,175769,6787524,TRUE
"552",13750,1088,174465,6824633,TRUE
