"","stnr","year","month","day","hour","ntime","value","nvalue","DQC","KDVHflag","plausible","err.ext","blist.perm","blist.curr"
"265",19050,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"266",19100,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"267",2970,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"268",5450,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"269",5495,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"270",5590,2014,7,8,NA,1,19.4,1,NA,2,TRUE,FALSE,FALSE,FALSE
"271",5650,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"272",5660,2014,7,8,NA,1,20.2,1,NA,2,TRUE,FALSE,TRUE,FALSE
"273",5670,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"274",12180,2014,7,8,NA,1,6.6,1,NA,2,TRUE,FALSE,FALSE,FALSE
"275",12290,2014,7,8,NA,1,10.5,1,NA,2,TRUE,FALSE,TRUE,FALSE
